"","data.country","accept","date"
"1","Albania",NA,"20201221"
"2","Algeria",0.358516888643678,"20201221"
"3","Angola",NA,"20201221"
"4","Argentina",0.692423180423535,"20201221"
"5","Armenia",NA,"20201221"
"6","Australia",0.772060064161425,"20201221"
"7","Austria",0.62016018454803,"20201221"
"8","Azerbaijan",0.402518636590696,"20201221"
"9","Bangladesh",0.786822741479524,"20201221"
"10","Belarus",0.509728314463668,"20201221"
"11","Belgium",0.687335747995583,"20201221"
"12","Benin",NA,"20201221"
"13","Bolivia",0.711077903139968,"20201221"
"14","Bosnia and Herzegovina",0.558468685722253,"20201221"
"15","Brazil",0.756493462660135,"20201221"
"16","Bulgaria",0.441807327558348,"20201221"
"17","Burkina Faso",NA,"20201221"
"18","Cambodia",NA,"20201221"
"19","Cameroon",NA,"20201221"
"20","Canada",0.776910852781782,"20201221"
"21","Chile",0.728716359560951,"20201221"
"22","Colombia",0.753213441792352,"20201221"
"23","Costa Rica",0.822655042097999,"20201221"
"24","Côte d'Ivoire",NA,"20201221"
"25","Croatia",0.546383074973224,"20201221"
"26","Czech Republic",0.582987105656711,"20201221"
"27","Democratic Republic of the Congo",NA,"20201221"
"28","Denmark",0.868389075105996,"20201221"
"29","Dominican Republic",0.591420137133294,"20201221"
"30","Ecuador",0.705827094670117,"20201221"
"31","Egypt",0.594728782401091,"20201221"
"32","El Salvador",0.759394959672848,"20201221"
"33","Ethiopia",NA,"20201221"
"34","Finland",0.812841483428251,"20201221"
"35","France",0.505108163812339,"20201221"
"36","Germany",0.722528846618852,"20201221"
"37","Ghana",0.626236383362676,"20201221"
"38","Greece",0.690564923951782,"20201221"
"39","Guatemala",0.796139420231005,"20201221"
"40","Guinea",NA,"20201221"
"41","Haiti",NA,"20201221"
"42","Honduras",0.763013259324375,"20201221"
"43","Hong Kong",0.612655386905497,"20201221"
"44","Hungary",0.490337889514615,"20201221"
"45","India",0.68796024043743,"20201221"
"46","Indonesia",0.673547297582489,"20201221"
"47","Iraq",0.545217310263468,"20201221"
"48","Ireland",0.793964945284781,"20201221"
"49","Israel",0.738050104426741,"20201221"
"50","Italy",0.796319169384573,"20201221"
"51","Japan",0.69606492542517,"20201221"
"52","Jordan",0.340747822134022,"20201221"
"53","Kazakhstan",0.332357339559014,"20201221"
"54","Kenya",0.767828238605456,"20201221"
"55","Kuwait",0.60870541544512,"20201221"
"56","Kyrgyzstan",NA,"20201221"
"57","Laos",NA,"20201221"
"58","Lebanon",0.448138394045534,"20201221"
"59","Libya",0.669628853284902,"20201221"
"60","Madagascar",NA,"20201221"
"61","Malaysia",0.701087239214781,"20201221"
