country,region,iso_code,gid_0,gid_1
Sweden,Jönköping,SWE,SWE,SWE.7_1
Sweden,Kalmar,SWE,SWE,SWE.8_1
Sweden,Norrbotten,SWE,SWE,SWE.10_1
Sweden,Orebro,SWE,SWE,SWE.11_1
Sweden,Östergötland,SWE,SWE,SWE.12_1
Sweden,Skåne,SWE,SWE,SWE.13_1
Sweden,Södermanland,SWE,SWE,SWE.14_1
Sweden,Stockholm,SWE,SWE,SWE.15_1
Sweden,Uppsala,SWE,SWE,SWE.16_1
Sweden,Värmland,SWE,SWE,SWE.17_1
Sweden,Västerbotten,SWE,SWE,SWE.18_1
Sweden,Västernorrland,SWE,SWE,SWE.19_1
Sweden,Västmanland,SWE,SWE,SWE.20_1
Sweden,Västra Götaland,SWE,SWE,SWE.21_1
Switzerland,Bern,CHE,CHE,CHE.6_1
Switzerland,Solothurn,CHE,CHE,CHE.19_1
Switzerland,Vaud,CHE,CHE,CHE.24_1
Switzerland,Zürich,CHE,CHE,CHE.26_1
Taiwan,Changhua County,TWN,TWN,NA
Taiwan,Hsinchu City,TWN,TWN,NA
Taiwan,Kaohsiung City,TWN,TWN,TWN.2_1
Taiwan,New Taipei City,TWN,TWN,TWN.3_1
Taiwan,Taichung City,TWN,TWN,TWN.4_1
Taiwan,Tainan City,TWN,TWN,TWN.5_1
Taiwan,Taipei City,TWN,TWN,TWN.6_1
Taiwan,Taoyuan City,TWN,TWN,NA
Tajikistan,Leninabad,TJK,TJK,TJK.4_1
Tanzania,Mtwara,TZA,TZA,TZA.15_1
Thailand,Bangkok Metropolis,THA,THA,THA.3_1
Thailand,Chiang Mai,THA,THA,THA.10_1
Thailand,Chon Buri,THA,THA,THA.12_1
Thailand,Khon Kaen,THA,THA,THA.17_1
Thailand,Nakhon Ratchasima,THA,THA,THA.29_1
Thailand,Nonthaburi,THA,THA,THA.36_1
Thailand,Pathum Thani,THA,THA,THA.37_1
Thailand,Samut Prakan,THA,THA,THA.57_1
Thailand,Songkhla,THA,THA,THA.64_1
Tunisia,Ariana,TUN,TUN,TUN.1_1
Tunisia,Tunis,TUN,TUN,TUN.23_1
Turkey,Adana,TUR,TUR,TUR.1_1
Turkey,Ankara,TUR,TUR,TUR.7_1
Turkey,Antalya,TUR,TUR,TUR.8_1
Turkey,Bursa,TUR,TUR,TUR.21_1
Turkey,Gaziantep,TUR,TUR,TUR.33_1
Turkey,Hatay,TUR,TUR,TUR.37_1
Turkey,Istanbul,TUR,TUR,TUR.40_1
Turkey,Izmir,TUR,TUR,TUR.41_1
Turkey,Kocaeli,TUR,TUR,TUR.52_1
Turkey,Konya,TUR,TUR,TUR.53_1
Turkey,Mersin,TUR,TUR,TUR.58_1
Turkey,Nigde,TUR,TUR,TUR.62_1
Ukraine,Dnipropetrovs'k,UKR,UKR,UKR.5_1
Ukraine,Donets'k,UKR,UKR,UKR.6_1
Ukraine,Kharkiv,UKR,UKR,UKR.8_1
Ukraine,Kherson,UKR,UKR,UKR.9_1
Ukraine,Kiev,UKR,UKR,UKR.12_1
Ukraine,Mykolayiv,UKR,UKR,UKR.16_1
Ukraine,Odessa,UKR,UKR,UKR.17_1
Ukraine,Poltava,UKR,UKR,UKR.18_1
Ukraine,Sumy,UKR,UKR,UKR.21_1
Ukraine,Zaporizhzhya,UKR,UKR,UKR.26_1
United Arab Emirates,Abu Dhabi,ARE,ARE,ARE.1_1
United Arab Emirates,Dubai,ARE,ARE,ARE.3_1
United Arab Emirates,Sharjah,ARE,ARE,ARE.6_1
United Kingdom,Antrim,GBR,GBR,GBR.2_1
United Kingdom,Down,GBR,GBR,GBR.2_1
United Kingdom,East Anglia,GBR,GBR,GBR.1_1
United Kingdom,East Midlands,GBR,GBR,GBR.1_1
United Kingdom,Greater London,GBR,GBR,GBR.1_1
United Kingdom,Newport,GBR,GBR,GBR.4_1
United Kingdom,"Pitcairn, Henderson, Ducie and Oeno Islands",GBR,GBR,NA
United Kingdom,South East,GBR,GBR,GBR.1_1
United Kingdom,South West,GBR,GBR,GBR.1_1
United Kingdom,West Midlands,GBR,GBR,GBR.1_1
United Kingdom,Yorkshire and the Humber,GBR,GBR,GBR.1_1
Uruguay,Canelones,URY,URY,URY.2_1
Uruguay,Montevideo,URY,URY,URY.10_1
Uzbekistan,Tashkent,UZB,UZB,UZB.14_1
Venezuela,Distrito Capital,VEN,VEN,VEN.11_1
Venezuela,Nueva Esparta,VEN,VEN,VEN.18_1
Vietnam,Bình Dương,VNM,VNM,VNM.9_1
Vietnam,Đà Nẵng,VNM,VNM,VNM.19_1
Vietnam,Đồng Nai,VNM,VNM,VNM.17_1
Vietnam,Hà Nội,VNM,VNM,VNM.27_1
Vietnam,Hải Phòng,VNM,VNM,VNM.23_1
Vietnam,Lào Cai,VNM,VNM,VNM.38_1
Vietnam,Thanh Hóa,VNM,VNM,VNM.57_1
Vietnam,Thành phố Hồ Chí Minh,VNM,VNM,NA
Vietnam,Tuyên Quang,VNM,VNM,VNM.60_1
